uid,code,description
ipNw2mT7yNk,X894,X894 Assault by other specified chemicals and noxious substances street and highway
C8d7bXGEjQd,X895,X895 Assault by other specified chemicals and noxious substances trade and service area
PiMKPWykXNK,X896,X896 Assault by other specified chemicals and noxious substances industrial and construction area
JHTUuUhS13z,X897,X897 Assault by other specified chemicals and noxious substances farm
Kyf8LBuyVOH,X898,X898 Assault by other specified chemicals and noxious substances other specified places
szyFUBcpUL1,X899,X899 Assault by other specified chemicals and noxious substances unspecified place
SrTzeRk0j1E,X900,X900 Assault by unspecified chemical or noxious substance home
V7T81lNlK62,X901,X901 Assault by unspecified chemical or noxious substance residential institution
ewaWsrzDeR6,X902,X902 Assault by unspecified chemical or noxious substance school other institution and public administrative area
hY46gZvw3B7,X903,X903 Assault by unspecified chemical or noxious substance sports and athletics area
tDFylogBYov,X904,X904 Assault by unspecified chemical or noxious substance street and highway
aODcparf3vG,X905,X905 Assault by unspecified chemical or noxious substance trade and service area
BQbdlEHDEUw,X906,X906 Assault by unspecified chemical or noxious substance industrial and construction area
zb8HoukeXcB,X907,X907 Assault by unspecified chemical or noxious substance farm
pekwfWfn1ph,X908,X908 Assault by unspecified chemical or noxious substance other specified places
nfsbMKzWlxL,X909,X909 Assault by unspecified chemical or noxious substance unspecified place
lTs1gqYfnkK,Y00,Y00 Assault by blunt object
egv1dCroZrr,X91,X91 Assault by hanging strangulation and suffocation
riF4j5RAShG,X910,X910 Assault by hanging strangulation and suffocation home
qGDeY41h1jl,X911,X911 Assault by hanging strangulation and suffocation residential institution
OnPB4XpuZVZ,X912,X912 Assault by hanging strangulation and suffocation school other institution and public administrative area
BRNSQAJsBL4,X913,X913 Assault by hanging strangulation and suffocation sports and athletics area
azLY0DAVP9d,X914,X914 Assault by hanging strangulation and suffocation street and highway
ZMpzG5fJxBf,X915,X915 Assault by hanging strangulation and suffocation trade and service area
KQvhISZjFmQ,X916,X916 Assault by hanging strangulation and suffocation industrial and construction area
Orpp1ddBMjo,X917,X917 Assault by hanging strangulation and suffocation farm
yd0r7zTjsrd,X918,X918 Assault by hanging strangulation and suffocation other specified places
PqYjSiYTIIJ,X919,X919 Assault by hanging strangulation and suffocation unspecified place
wQo5UjowQnj,X92,X92 Assault by drowning and submersion
PDWSL0LPe4D,X920,X920 Assault by drowning and submersion home
D9VV1nAit05,X921,X921 Assault by drowning and submersion residential institution
amla694apdj,X922,X922 Assault by drowning and submersion school other institution and public administrative area
pu3FbQsDJ2r,X923,X923 Assault by drowning and submersion sports and athletics area
DMMg24y7hVI,X924,X924 Assault by drowning and submersion street and highway
huYKOwnPWJa,X925,X925 Assault by drowning and submersion trade and service area
duK5dQW38y9,X926,X926 Assault by drowning and submersion industrial and construction area
vxJCaqfFxMd,X928,X928 Assault by drowning and submersion other specified places
qH0lJUBgdaL,X929,X929 Assault by drowning and submersion unspecified place
RGttEbdtPCM,X93,X93 Assault by handgun discharge
vZEjfyU1OO4,X931,X931 Assault by handgun discharge residential institution
TK0Rp0ODwfk,X932,X932 Assault by handgun discharge school other institution and public administrative area
UGNiDZblNgO,X933,X933 Assault by handgun discharge sports and athletics area
hJrG7Kkl2pU,X934,X934 Assault by handgun discharge street and highway
X9TH9xNMlLF,X935,X935 Assault by handgun discharge trade and service area
cwBkQR81Qv2,X936,X936 Assault by handgun discharge industrial and construction area
VAiTECaWy4J,X937,X937 Assault by handgun discharge farm
G2RrpGJV4zk,X938,X938 Assault by handgun discharge other specified places
WojJ1JqcYBC,X939,X939 Assault by handgun discharge unspecified place
iMY9zqoECij,X94,X94 Assault by rifle shotgun and larger firearm discharge
XGGUajfJD0D,X940,X940 Assault by rifle shotgun and larger firearm discharge home
A3CIFdqcsnl,X941,X941 Assault by rifle shotgun and larger firearm discharge residential institution
dM2AnxVfHWF,X942,X942 Assault by rifle shotgun and larger firearm discharge school other institution and public administrative area
Etd1HxMZ4kc,X943,X943 Assault by rifle shotgun and larger firearm discharge sports and athletics area
K7lW2lXgMKo,X944,X944 Assault by rifle shotgun and larger firearm discharge street and highway
FIoDreKqp8M,X945,X945 Assault by rifle shotgun and larger firearm discharge trade and service area
AgKLqGB1S2C,X946,X946 Assault by rifle shotgun and larger firearm discharge industrial and construction area
DPtG6HGtgez,X947,X947 Assault by rifle shotgun and larger firearm discharge farm
ewCIjj5B7FN,X948,X948 Assault by rifle shotgun and larger firearm discharge other specified places
U1Sc9e1u0mi,X949,X949 Assault by rifle shotgun and larger firearm discharge unspecified place
zUI8bxAyQav,X95,X95 Assault by other and unspecified firearm discharge
CLMl7b4Q6Ph,X950,X950 Assault by other and unspecified firearm discharge home
dbeCP7UBn9Q,X951,X951 Assault by other and unspecified firearm discharge residential institution
szXy5rIUU33,X952,X952 Assault by other and unspecified firearm discharge school other institution and public administrative area
UngnmNcTff2,X953,X953 Assault by other and unspecified firearm discharge sports and athletics area
qfNWahsjSNG,X954,X954 Assault by other and unspecified firearm discharge street and highway
VgFw73vLhDq,X955,X955 Assault by other and unspecified firearm discharge trade and service area
q7MfK0wbiYt,X956,X956 Assault by other and unspecified firearm discharge industrial and construction area
remKOA7srAI,X957,X957 Assault by other and unspecified firearm discharge farm
ibbHErU1Kuq,X958,X958 Assault by other and unspecified firearm discharge other specified places
CQ6ddpDGot2,X959,X959 Assault by other and unspecified firearm discharge unspecified place
FI34UL6kZCH,X960,X960 Assault by explosive material home
ObCtlyaX7GX,X961,X961 Assault by explosive material residential institution
ti8JYYksf8K,X962,X962 Assault by explosive material school other institution and public administrative area
CNogNcG1PIv,X963,X963 Assault by explosive material sports and athletics area
E7MmLdjWa0g,X964,X964 Assault by explosive material street and highway
NvaFDH6w8P4,X965,X965 Assault by explosive material trade and service area
nsEEfp8jNea,X966,X966 Assault by explosive material industrial and construction area
RAjiWvjcNha,X967,X967 Assault by explosive material farm
wGEgJ2GcTBP,X968,X968 Assault by explosive material other specified places
HrlaeIDocXH,X969,X969 Assault by explosive material unspecified place
UaoQDb6II66,X97,X97 Assault by smoke fire and flames
x6yl85MXdU4,X970,X970 Assault by smoke fire and flames home
m0fSJKXshma,X971,X971 Assault by smoke fire and flames residential institution
nKXX5n2yyOt,X972,X972 Assault by smoke fire and flames school other institution and public administrative area
H9R4NbHxKAQ,X973,X973 Assault by smoke fire and flames sports and athletics area
r5fRLDhF4ak,X974,X974 Assault by smoke fire and flames street and highway
H0V4rRQXfAJ,X975,X975 Assault by smoke fire and flames trade and service area
OmeaToDj8J6,X976,X976 Assault by smoke fire and flames industrial and construction area
QKcsD4UBJRh,X977,X977 Assault by smoke fire and flames farm
La9gkM5GQqm,X978,X978 Assault by smoke fire and flames other specified places
nXHmlbBm7MD,X979,X979 Assault by smoke fire and flames unspecified place
iQjGgfSV2Ds,X98,X98 Assault by steam hot vapours and hot objects
yPPaKrutr4k,X980,X980 Assault by steam hot vapours and hot objects home
RpOs5TppNkq,X981,X981 Assault by steam hot vapours and hot objects residential institution
lg1ZhwfrDMJ,X982,X982 Assault by steam hot vapours and hot objects school other institution and public administrative area
rifaRl044Bh,X983,X983 Assault by steam hot vapours and hot objects sports and athletics area
bt9yPH6Xpbf,X984,X984 Assault by steam hot vapours and hot objects street and highway
kXH4yIjFz1n,X985,X985 Assault by steam hot vapours and hot objects trade and service area
mN1rmGOOI5v,X986,X986 Assault by steam hot vapours and hot objects industrial and construction area
UXGKDuxGkUY,X987,X987 Assault by steam hot vapours and hot objects farm
OuXlXD1PPTO,X988,X988 Assault by steam hot vapours and hot objects other specified places
IR5sq4jgEnx,X989,X989 Assault by steam hot vapours and hot objects unspecified place
t1IXJJXG9kN,X99,X99 Assault by sharp object
f43fiZDQDtL,X990,X990 Assault by sharp object home
r4RsQdKHwVU,X991,X991 Assault by sharp object residential institution
lRLcIDft6WO,X992,X992 Assault by sharp object school other institution and public administrative area
bnpg8Z61ayn,X993,X993 Assault by sharp object sports and athletics area
DhsGkuHPQXx,X994,X994 Assault by sharp object street and highway
z68xgjQD77c,X995,X995 Assault by sharp object trade and service area
OU90TmRnXWH,X996,X996 Assault by sharp object industrial and construction area
fiO3Q7lx5KY,X997,X997 Assault by sharp object farm
lCjjiTRqLJ3,X998,X998 Assault by sharp object other specified places
ZcATmbHy1n8,X999,X999 Assault by sharp object unspecified place
lOBFonZCrnw,Y000,Y000 Assault by blunt object home
JQ5SaDHPl2h,Y001,Y001 Assault by blunt object residential institution
KcDwaQ6VQlK,Y002,Y002 Assault by blunt object school other institution and public administrative area
YYgcLJMbUuO,Y003,Y003 Assault by blunt object sports and athletics area
j0IlxV5JzYz,Y004,Y004 Assault by blunt object street and highway
lJNu4ttoGaV,Y005,Y005 Assault by blunt object trade and service area
X8wLYnflg7B,Y006,Y006 Assault by blunt object industrial and construction area
Tx6dl1AeH2L,Y007,Y007 Assault by blunt object farm
uPZEgVnMAkb,Y008,Y008 Assault by blunt object other specified places
ESvYC4DtMYu,Y009,Y009 Assault by blunt object unspecified place
nlYPBdtCChr,Y01,Y01 Assault by pushing from high place
AU2ktu1mCzE,Y010,Y010 Assault by pushing from high place home
I4rZ9ELhl3t,Y011,Y011 Assault by pushing from high place residential institution
FKRE2dFwF3R,Y012,Y012 Assault by pushing from high place school other institution and public administrative area
TbZSa1z4j4q,Y013,Y013 Assault by pushing from high place sports and athletics area
CHrl6tBrtWf,Y014,Y014 Assault by pushing from high place street and highway
F2lRbUUTpWu,Y015,Y015 Assault by pushing from high place trade and service area
UXsmiUIZUO2,Y016,Y016 Assault by pushing from high place industrial and construction area
bj7DHaPPt0h,Y017,Y017 Assault by pushing from high place farm
rsIoTs9kJx3,Y018,Y018 Assault by pushing from high place other specified places
Ql8SbQUdl7h,Y019,Y019 Assault by pushing from high place unspecified place
ogcIFeDFpYw,Y020,Y020 Assault by pushing or placing victim before moving object home
YvZwrLwCB1d,Y021,Y021 Assault by pushing or placing victim before moving object residential institution
lhFxqIgXfjy,Y022,Y022 Assault by pushing or placing victim before moving object school other institution and public administrative area
wI533DcjYzQ,Y023,Y023 Assault by pushing or placing victim before moving object sports and athletics area
qaCrU9cKNoy,Y024,Y024 Assault by pushing or placing victim before moving object street and highway
OhFDv3Rinxf,Y48,Y48 Anaesthetics and therapeutic gases
zmAmzKFfZAk,Y025,Y025 Assault by pushing or placing victim before moving object trade and service area
pG6cUOPOVvr,Y026,Y026 Assault by pushing or placing victim before moving object industrial and construction area
zKgKaORx15h,Y027,Y027 Assault by pushing or placing victim before moving object farm
fsbd0f13Jkr,Y028,Y028 Assault by pushing or placing victim before moving object other specified places
wXEhnpnuHZl,Y029,Y029 Assault by pushing or placing victim before moving object unspecified place
fNfmPlPtTFj,Y03,Y03 Assault by crashing of motor vehicle
eA32fLxMBX2,Y030,Y030 Assault by crashing of motor vehicle home
cgChBpdrGDC,Y031,Y031 Assault by crashing of motor vehicle residential institution
lBBpMDsL45b,Y032,Y032 Assault by crashing of motor vehicle school other institution and public administrative area
PV8xwcrWUMf,Y033,Y033 Assault by crashing of motor vehicle sports and athletics area
pmbgHa8TGLp,Y034,Y034 Assault by crashing of motor vehicle street and highway
YwaeQs0Wk9H,Y035,Y035 Assault by crashing of motor vehicle trade and service area
gxFDa9N8q5t,Y036,Y036 Assault by crashing of motor vehicle industrial and construction area
YkuEoTdr1wz,Y037,Y037 Assault by crashing of motor vehicle farm
pPjXmbY3r01,Y038,Y038 Assault by crashing of motor vehicle other specified places
kl8kWrhJ04z,Y039,Y039 Assault by crashing of motor vehicle unspecified place
MvcV5LjfjYx,Y04,Y04 Assault by bodily force
f8gr46lWZ6y,Y040,Y040 Assault by bodily force home
jC0UzPtSJRQ,Y041,Y041 Assault by bodily force residential institution
x985w4W5B7a,Y042,Y042 Assault by bodily force school other institution and public administrative area
ajYkfHygsDP,Y043,Y043 Assault by bodily force sports and athletics area
qPqVfx3Ittc,Y044,Y044 Assault by bodily force street and highway
m1rFoqoutke,Y045,Y045 Assault by bodily force trade and service area
jKYyo3VJiZs,Y046,Y046 Assault by bodily force industrial and construction area
hQIH2tdK9oj,Y047,Y047 Assault by bodily force farm
Yq42ldXqCC8,Y048,Y048 Assault by bodily force other specified places
uJMjHV4UabP,Y049,Y049 Assault by bodily force unspecified place
jGFhS9fJQy8,Y05,Y05 Sexual assault by bodily force
XZfyV82J0Q5,Y050,Y050 Sexual assault by bodily force home
EBYmK1T0zhA,Y051,Y051 Sexual assault by bodily force residential institution
lkK1Nx9g4LK,Y052,Y052 Sexual assault by bodily force school other institution and public administrative area
mkpgYF3j2Fl,Y053,Y053 Sexual assault by bodily force sports and athletics area
e4WjgXsfVo3,Y054,Y054 Sexual assault by bodily force street and highway
qoNMigV9Pbw,Y055,Y055 Sexual assault by bodily force trade and service area
VAMf9VdjEdm,Y056,Y056 Sexual assault by bodily force industrial and construction area
t7l1dwENKm2,Y057,Y057 Sexual assault by bodily force farm
CNTsYRAKd0I,Y058,Y058 Sexual assault by bodily force other specified places
Iwdod3SCDcX,Y059,Y059 Sexual assault by bodily force unspecified place
YpIVwrb3mFE,Y06,Y06 Neglect and abandonment
mNXfDXM7qcj,Y060,Y060 By spouse or partner
frPNc4Z1n4H,Y062,Y062 By acquaintance or friend
mOQ0vQmwsKQ,Y069,Y069 By unspecified person
rRROVTYeBz7,Y07,Y07 Other maltreatment syndromes
M3Hry3ImTRm,Y070,Y070 By spouse or partner
QFNm4jUGaLL,Y071,Y071 By parent
uv4CwNhtf3A,Y072,Y072 By acquaintance or friend
jgz97cHwRFB,Y073,Y073 By official authorities
rqMVETWoCXs,Y078,Y078 By other specified persons
kwSKu5OBqtV,Y079,Y079 By unspecified person
RdOP0WLBav2,Y08,Y08 Assault by other specified means
RMcbDT3NoDx,Y080,Y080 Assault by other specified means home
sg52tftnYV8,Y081,Y081 Assault by other specified means residential institution
Tz86HgiCKm1,Y082,Y082 Assault by other specified means school other institution and public administrative area
YYGyHNDVWNa,Y083,Y083 Assault by other specified means sports and athletics area
r8SPPuX0gQb,Y084,Y084 Assault by other specified means street and highway
jHmSdVIwfeO,Y085,Y085 Assault by other specified means trade and service area
kYUwcQL1sKJ,Y086,Y086 Assault by other specified means industrial and construction area
pfSQzn7JBOc,Y087,Y087 Assault by other specified means farm
hl6GYArOOx4,Y088,Y088 Assault by other specified means other specified places
y0nsPvCUs0x,Y089,Y089 Assault by other specified means unspecified place
KCJadFPm87K,Y09,Y09 Assault by unspecified means
iLgFhD69ThC,Y090,Y090 Assault by unspecified means home
C7jPEIVX1Ds,Y091,Y091 Assault by unspecified means residential institution
uNPGOuiZ1aY,Y092,Y092 Assault by unspecified means school other institution and public administrative area
ghuNGGw2PzF,Y093,Y093 Assault by unspecified means sports and athletics area
IeaD0Xu32LU,Y094,Y094 Assault by unspecified means street and highway
HnVncPQ70tA,Y095,Y095 Assault by unspecified means trade and service area
Rj89MP2B2J4,Y096,Y096 Assault by unspecified means industrial and construction area
JCQsqDk2ca2,Y097,Y097 Assault by unspecified means farm
TuOIEl6PrAw,Y098,Y098 Assault by unspecified means other specified places
O0EYbeg0JHw,Y099,Y099 Assault by unspecified means unspecified place
K501cwmJrE4,Y10,Y10 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent
GHa3mq9EpGa,Y238,Y238 Rifle shotgun and larger firearm discharge undetermined intent other specified places
S092wIcgMjL,Y100,Y100 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent home
UDo7NPTh0H8,Y101,Y101 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent residential institution
Jt0WkhboNd5,Y102,Y102 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent school other institution and public administrative area
Cvg5MIrdXU0,Y103,Y103 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent sports and athletics area
nI5JvKuqPf3,Y104,Y104 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent street and highway
e3EhPHfWldl,Y105,Y105 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent trade and service area
NqKQbxileJV,Y106,Y106 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent industrial and construction area
F0umwJILqFu,Y107,Y107 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent farm
PhDqukzMqZ4,Y108,Y108 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent other specified places
DzBbcaxBoZP,Y109,Y109 Poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent unspecified place
iZcQ2u476HM,Y11,Y11 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent
dCrht2ZKoU4,Y407,Y407 Antifungal antibiotics systemically used
eGteKr2Lt3x,Y110,Y110 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent home
lwJrBKIl442,Y111,Y111 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent residential institution
kwTlqN8tfM7,Y112,Y112 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent school other institution and public administrative area
hKKnDYEE5st,Y113,Y113 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent sports and athletics area
UdKEylTCQ3j,Y114,Y114 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent street and highway
srPb3UJ6QGB,Y115,Y115 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent trade and service area
H6ZIuKIDe75,Y116,Y116 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent industrial and construction area
DXfOxgc02L9,Y117,Y117 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent farm
XdovSgLR0A3,Y118,Y118 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent other specified places
AB9OaZDwDwP,Y119,Y119 Poisoning by and exposure to antiepileptic sedativehypnotic antiparkinsonism and psychotropic drugs NEC undetermined intent unspecified place
VET0OyVE1Oe,Y12,Y12 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent
j5hXCwBiZ1w,Y120,Y120 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent home
ySWK5u1oNOB,Y121,Y121 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent residential institution
wNPv4NWXLNf,Y122,Y122 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent school other institution and public administrative area
E0MyEHy5Ngi,Y123,Y123 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent sports and athletics area
Y33gP7HmPTd,Y124,Y124 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent street and highway
oLfnr3NTi69,Y125,Y125 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent trade and service area
iiMkO4oSjnT,Y126,Y126 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent industrial and construction area
TYLBolAA42M,Y127,Y127 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent farm
QO1rMNcOQcn,Y128,Y128 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent other specified places
EJt1jYkYnwC,Y129,Y129 Poisoning by and exposure to narcotics and psychodysleptics hallucinogens NEC undetermined intent unspecified place
FywFSzhD7YL,Y13,Y13 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent
zut95Dtd55W,Y130,Y130 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent home
S7yRMmNEFhs,Y131,Y131 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent residential institution
xS8jeA62IW5,Y132,Y132 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent school other institution and public administrative area
FckcWbZGh8e,Y133,Y133 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent sports and athletics area
PNxPKrDdx0J,Y134,Y134 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent street and highway
e7K4KYZac9m,Y135,Y135 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent trade and service area
JesQSLXdlW4,Y136,Y136 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent industrial and construction area
QRZS6HWyaAf,Y137,Y137 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent farm
l5KxwhJEqHi,Y138,Y138 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent other specified places
WPUMNheWACr,Y139,Y139 Poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent unspecified place
ePzUmUaGVtL,Y14,Y14 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent
gX2zdQCpHsG,Y140,Y140 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent home
AKumaiZ1XLq,Y141,Y141 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent residential institution
TSmCsKJo4nQ,Y142,Y142 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent school other institution and public administrative area
HpJkxZMA9ps,Y143,Y143 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent sports and athletics area
GJoMsxkhPyD,Y144,Y144 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent street and highway
zsCzmbtrIZw,Y145,Y145 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent trade and service area
JB7CZuc9FtR,Y146,Y146 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent industrial and construction area
BIybWWiSWfR,Y147,Y147 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent farm
Og3Ks9MV0dd,Y148,Y148 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent other specified places
VLJkIq4fsFb,Y149,Y149 Poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent unspecified place
ZlIRQbhKuTj,Y15,Y15 Poisoning by and exposure to alcohol undetermined intent
p7CPEjtUmv0,Y150,Y150 Poisoning by and exposure to alcohol undetermined intent home
J2Kgx8zjGkk,Y151,Y151 Poisoning by and exposure to alcohol undetermined intent residential institution
oo5SOUJd25z,Y152,Y152 Poisoning by and exposure to alcohol undetermined intent school other institution and public administrative area
Bt3NGZa9jj8,Y153,Y153 Poisoning by and exposure to alcohol undetermined intent sports and athletics area
wEYSnvvGFrA,Y154,Y154 Poisoning by and exposure to alcohol undetermined intent street and highway
ZnBuOK7DDif,Y155,Y155 Poisoning by and exposure to alcohol undetermined intent trade and service area
oZq5bbCdk6u,Y156,Y156 Poisoning by and exposure to alcohol undetermined intent industrial and construction area
QDG6R6VgsNt,Y157,Y157 Poisoning by and exposure to alcohol undetermined intent farm
GxzbH0wTr5p,Y158,Y158 Poisoning by and exposure to alcohol undetermined intent other specified places
NqNz0iBmS28,Y159,Y159 Poisoning by and exposure to alcohol undetermined intent unspecified place
zZ42UYKOYgQ,Y283,Y283 Contact with sharp object undetermined intent sports and athletics area
xKfAhy1XJbG,Y16,Y16 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent
ChwxzKd1Nbk,Y160,Y160 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent home
YCOIyLhx0YK,Y161,Y161 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent residential institution
ABJOrFwLMPQ,Y239,Y239 Rifle shotgun and larger firearm discharge undetermined intent unspecified place
Y1nwViG9v9e,Y162,Y162 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent school other institution and public administrative area
KVw2szFmNWE,Y163,Y163 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent sports and athletics area
zuWc4xByuVT,Y164,Y164 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent street and highway
WjBr2Cwwdiw,Y165,Y165 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent trade and service area
mV0FMMRy3Wp,Y166,Y166 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent industrial and construction area
tjzwcNpFM1m,Y167,Y167 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent farm
FoqqFgTVvLj,Y168,Y168 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent other specified places
AVoZVuzZdBL,Y169,Y169 Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent unspecified place
jfbUoXf4uut,Y17,Y17 Poisoning by and exposure to other gases and vapours undetermined intent
xOWW55hnn9d,Y170,Y170 Poisoning by and exposure to other gases and vapours undetermined intent home
W2Wxjga0G7m,Y171,Y171 Poisoning by and exposure to other gases and vapours undetermined intent residential institution
EnknvpmePxF,Y172,Y172 Poisoning by and exposure to other gases and vapours undetermined intent school other institution and public administrative area
HmN4I1DS6Lz,Y173,Y173 Poisoning by and exposure to other gases and vapours undetermined intent sports and athletics area
gnSNNxn2hud,Y174,Y174 Poisoning by and exposure to other gases and vapours undetermined intent street and highway
cL4NJZ2O0mM,Y175,Y175 Poisoning by and exposure to other gases and vapours undetermined intent trade and service area
E1hN8uru3jN,Y176,Y176 Poisoning by and exposure to other gases and vapours undetermined intent industrial and construction area
AbgjWsu8BfF,Y177,Y177 Poisoning by and exposure to other gases and vapours undetermined intent farm
ns8R5PJBWQC,Y178,Y178 Poisoning by and exposure to other gases and vapours undetermined intent other specified places
UnRPsPx3s2K,Y179,Y179 Poisoning by and exposure to other gases and vapours undetermined intent unspecified place
C2idimd3RDC,Y18,Y18 Poisoning by and exposure to pesticides undetermined intent
AlZoeOInV4t,Y180,Y180 Poisoning by and exposure to pesticides undetermined intent home
f1thiCepSIA,Y181,Y181 Poisoning by and exposure to pesticides undetermined intent residential institution
ApqrHXQtbRs,Y182,Y182 Poisoning by and exposure to pesticides undetermined intent school other institution and public administrative area
vWyI3pPFQ9A,Y183,Y183 Poisoning by and exposure to pesticides undetermined intent sports and athletics area
To0yonqHDNV,Y184,Y184 Poisoning by and exposure to pesticides undetermined intent street and highway
Ha0bS2AJFjk,Y462,Y462 Hydantoin derivatives
JrZRZWts4Yz,Y185,Y185 Poisoning by and exposure to pesticides undetermined intent trade and service area
osGRbKFHbJL,Y186,Y186 Poisoning by and exposure to pesticides undetermined intent industrial and construction area
E4fJQwyai4H,Y187,Y187 Poisoning by and exposure to pesticides undetermined intent farm
RTb11GCVAvK,Y188,Y188 Poisoning by and exposure to pesticides undetermined intent other specified places
SezLnATa1sB,Y189,Y189 Poisoning by and exposure to pesticides undetermined intent unspecified place
HMJmhlD1AkF,Y19,Y19 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent
UttnSzIPbov,Y190,Y190 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent home
zNzUcULsrLi,Y191,Y191 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent residential institution
itBN87y15ey,Y192,Y192 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent school other institution and public administrative area
owCyUbduxhy,Y193,Y193 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent sports and athletics area
nI1PM5HXMNV,Y194,Y194 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent street and highway
Xrlyl7Hibut,Y195,Y195 Poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent trade and service area
